epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1049,0.64284,0.43924,0.97096,0.92463,0.89379,0.9467,0.67625,1.2225,0.54714,1.45653,0.00045055,0.00045055,0.00045055
113,1059.25,0.65953,0.44895,0.98065,0.94345,0.87495,0.97409,0.71192,1.1745,0.50838,1.37305,0.0004456,0.0004456,0.0004456
114,1069.46,0.65171,0.43203,0.97809,0.91849,0.92794,0.96851,0.69363,1.22094,0.48161,1.55149,0.00044065,0.00044065,0.00044065
115,1079.61,0.63057,0.41219,0.96253,0.97795,0.94603,0.98944,0.70153,1.2092,0.46345,1.49074,0.0004357,0.0004357,0.0004357
116,1089.85,0.61507,0.41806,0.95493,0.96139,0.93151,0.96894,0.6867,1.32607,0.50424,1.52899,0.00043075,0.00043075,0.00043075
117,1100.08,0.60866,0.40947,0.95806,0.94951,0.89056,0.95999,0.68589,1.23291,0.5647,1.41058,0.0004258,0.0004258,0.0004258
118,1110.29,0.6415,0.41522,0.96739,0.89592,0.94996,0.97327,0.69487,1.20749,0.54148,1.35495,0.00042085,0.00042085,0.00042085
119,1120.46,0.62327,0.41661,0.95483,0.88578,0.92957,0.96262,0.68689,1.10754,0.54582,1.26525,0.0004159,0.0004159,0.0004159
120,1130.73,0.63244,0.41199,0.96355,0.92868,0.93246,0.96131,0.69493,1.18585,0.51824,1.30205,0.00041095,0.00041095,0.00041095
121,1140.96,0.63824,0.42082,0.97311,0.93738,0.92226,0.97362,0.70592,1.12051,0.52341,1.36133,0.000406,0.000406,0.000406
122,1151.28,0.6365,0.41412,0.97069,0.93466,0.98039,0.98593,0.71093,1.2258,0.48894,1.48328,0.00040105,0.00040105,0.00040105
123,1161.53,0.63537,0.41583,0.9824,0.94091,0.9779,0.98927,0.70564,1.24124,0.46123,1.49659,0.0003961,0.0003961,0.0003961
124,1172.03,0.61684,0.40691,0.95489,0.85585,0.91221,0.95397,0.65791,1.24211,0.58921,1.50059,0.00039115,0.00039115,0.00039115
125,1182.42,0.61436,0.38769,0.95045,0.92001,0.98414,0.99132,0.71607,1.22747,0.49323,1.43712,0.0003862,0.0003862,0.0003862
126,1192.8,0.61753,0.40268,0.95696,0.94855,0.98241,0.98997,0.69848,1.19987,0.51025,1.40632,0.00038125,0.00038125,0.00038125
127,1203.15,0.62538,0.40706,0.97357,0.93564,0.97607,0.99119,0.73653,1.17083,0.4846,1.33734,0.0003763,0.0003763,0.0003763
128,1213.36,0.60965,0.40158,0.95115,0.95723,0.93795,0.97299,0.71153,1.14408,0.46636,1.40348,0.00037135,0.00037135,0.00037135
129,1223.73,0.60975,0.39108,0.95592,0.9321,0.98258,0.98332,0.69587,1.16342,0.50167,1.38551,0.0003664,0.0003664,0.0003664
